Wojewodztwo,Miejscowosc,Kategoria_PL,Kategoria_FR,Nazwa
BIAŁOSTOCKIE,Grodno,Piekarze,boulangers,Dudziec A.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Wilkowski W
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,XDudowicz E.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,XDymerberg Ch.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,XFajtenzylberg
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,xFiler Ch.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Fryda S.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Frydmar A.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,xGersztański B.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Gryngras A.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,XKaczman A.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,xKamiński N.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Goldberg Ch.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Grynszpan Ch.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Milewicz Sz.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Śniadower M.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,xGrynszpan E.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Jakubiński D.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Kurejwowski L.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,XMilewicz L.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,XMilewicz M.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Sawicki M.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,Śliwiński St.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,XWiernik H.
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,XWilkoński Majer
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,xWilkoński Moszek
BIAŁOSTOCKIE,Grodno,Rzeźnicy,bouchers,XWilkoński R.
BIAŁOSTOCKIE,Grodno,Stolarze,menuisiers,Nicepor J.
BIAŁOSTOCKIE,Grodno,Stolarze,menuisiers,Owczarek J.
BIAŁOSTOCKIE,Grodno,Stolarze,menuisiers,Plewko S.
Nowogródzkie,Grodno,Adwokaci,Avocats,"Abramski Leon, Napoleońska 18"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Bortnowski Ant. (obr. sąd.)"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Garewski L., Zielony Zaulek 13"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Neuberg O., Horodniczańska 4"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Danillowicz Olg., Dzielna 3"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Dąbrowo Józ., Pilsudskiego 10"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Epsztejnówna Hel., Horodniczańska 19"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Firstenberg Winc., Piaskowa 1"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Gożański Izaak, Kołożańska 7"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Horbaczewski Zygm., Pocztowa 1"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Jeśman Czesław, Orzeszkowej 20"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Kattche Mik., Skarbowa 9"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Leinwandhänd'er Tobj., Orzeszkowej 9"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Lobman Raf., Napoleonska"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Makal Jan, Piaskowa nr. 10"
Nowogródzkie,Grodno,Adwokaci,Avocats,"Nielubowicz Wikt., Horodniczańska 4"
Nowogródzkie,Grodno,Lekarze,Médecins,"Altfeld Herszon dr. (wewn), Telegraficzna 26"
Nowogródzkie,Grodno,Lekarze,Médecins,"Ałszybaja Grzegorz dr., Zielona 6"
Nowogródzkie,Grodno,Lekarze,Médecins,"Birger S. dr. (dziec), Dominikanska 16"
Nowogródzkie,Grodno,Lekarze,Médecins,"Blumstein Chaim Mordka dr. (chir), Listowskiego 8"
Nowogródzkie,Grodno,Lekarze,Médecins,"Bryzman Herman dr. (wewn), Hoovera 2"
Nowogródzkie,Grodno,Lekarze,Médecins,"Buteński Lejzor dr., Lipowa 17"
Nowogródzkie,Grodno,Lekarze,Médecins,"Byl Sam. dr., Bośniacka 9"
Nowogródzkie,Grodno,Lekarze,Médecins,"Chazan Stan. Adam dr. (gin), Rydza Smiglego 10"
Nowogródzkie,Grodno,Lekarze,Médecins,"Epsztein Mojż. dr. (wewn i wen), Brygidzka 11"
Nowogródzkie,Grodno,Lekarze,Médecins,"Finkiel Gołda dr. (wewn), Listowskiego 6a"
Nowogródzkie,Grodno,Lekarze,Médecins,"Finkiel Mojżesz dr., Listowskiego 6a"
Nowogródzkie,Grodno,Lekarze,Médecins,"Gartner Wilh. dr., III szpit. okręg."
Nowogródzkie,Grodno,Lekarze,Médecins,"Garzanski Samuel dr., Jerozolimska 4"
Nowogródzkie,Grodno,Lekarze,Médecins,"Gersuni Raszel dr. (gin), Listowskiego 24"
Nowogródzkie,Grodno,Lekarze,Médecins,"Głembocki Ant. dr., Jagiellońska 49"
Nowogródzkie,Grodno,Lekarze,Médecins,"Grzegorzewski Zenon Jan dr. (wewn i dziec), Bankowa 7"
Nowogródzkie,Grodno,Lekarze,Médecins,"Gula Józef dr., aleja 3-go Maja 10"
Nowogródzkie,Grodno,Lekarze,Médecins,"Higier Arkad. dr. (wen), Rydza Śmigłego 3"
Nowogródzkie,Grodno,Lekarze,Médecins,"Jakimowicz Jan dr. (gin), Horodniczańska 6"
Nowogródzkie,Grodno,Lekarze,Médecins,"Kowalewski Marj., szpit. okreg."
Nowogródzkie,Grodno,Lekarze,Médecins,"Krzeczkowski Stan. dr. (wewn), Horodniczańska 21"
Nowogródzkie,Grodno,Lekarze,Médecins,"Lenartowicz Michał dr. (wewn), Listowskiego 33"
Nowogródzkie,Grodno,Lekarze,Médecins,"Lichtensztein Miecz. dr. (psych), Polowa 9"
Nowogródzkie,Grodno,Lekarze,Médecins,"Lichtensztein Ehrlich Ryfka dr. (gin), Polowa 9"
Nowogródzkie,Grodno,Lekarze,Médecins,"Lipnik Abraham, Dominikańska 5"
Nowogródzkie,Grodno,Lekarze,Médecins,"Lipnik dr., Zamkowa 13"
Nowogródzkie,Grodno,Lekarze,Médecins,"Łakiński dr.(wen), Orzeszkowej"
Nowogródzkie,Grodno,Lekarze,Médecins,"Łobszyc Bern. dr. (wewn), Bankowa 17"
Nowogródzkie,Grodno,Lekarze,Médecins,"Morawski Szczep. dr. (wewn), Mickiewicza 14"
Nowogródzkie,Grodno,Lekarze,Médecins,"Nejman N. dr. (gin), Bankowa 6"
Nowogródzkie,Grodno,Lekarze,Médecins,"Orlis S. dr. (wewn), Napoleonska 18a"
Nowogródzkie,Grodno,Lekarze,Médecins,"Orłowski Stan. dr., Jagiellońska 28"
Nowogródzkie,Grodno,Lekarze,Médecins,"Ottowicz Klaudja dr. (okul), Pl. Teatralny 11"
Nowogródzkie,Grodno,Lekarze,Médecins,"Rupp Jan dr. (chir), Listowskiego 27"
Nowogródzkie,Grodno,Lekarze,Médecins,"Sajet Sam. dr. (wewn), Hoovera 8"
Nowogródzkie,Grodno,Lekarze,Médecins,"Sarosiek Stan. dr. (wewn), Pocztowa 16"
Nowogródzkie,Grodno,Lekarze,Médecins,"Sobel Chaim dr., Horodniczańska 19"
Nowogródzkie,Grodno,Lekarze,Médecins,"Szapiro dr., Bankowa 20"
Nowogródzkie,Grodno,Lekarze,Médecins,"Szumkowski Stef. dr. (lar), Bankowa 8"
Nowogródzkie,Grodno,Lekarze,Médecins,"Talheim Aleks. dr. (wewn), Napoleońska 16"
Nowogródzkie,Grodno,Lekarze,Médecins,"Truskowski Henr. dr., Bankowa 8"
Nowogródzkie,Grodno,Lekarze,Médecins,"Wachnowski Włodzimierz dr., Mostowa"
Nowogródzkie,Grodno,Lekarze,Médecins,"Waszczuk Jan dr., Kołożańska 11"
Nowogródzkie,Grodno,Lekarze,Médecins,"Winc. Leonowicz dr. (wewn), Pocztowa 8"
Nowogródzkie,Grodno,Lekarze,Médecins,"Wolański Ant. dr. (bakt), Bankowa 9"
Nowogródzkie,Grodno,Lekarze,Médecins,"Woroszylski Gersz. dr. (gin), Kołożańska 18"
Nowogródzkie,Grodno,Lekarze,Médecins,"Zamkowski Henr dr. (wewn), Zamkowa 2"
Nowogródzkie,Grodno,Lekarze,Médecins,"Zieliński Ludw. dr. (wewn), Zamkowa"
Nowogródzkie,Grodno,Lekarze,Médecins,"Jaros Wacław dr., 10 pułku Ułanów"
Nowogródzkie,Grodno,Lekarze,Médecins,"Jurowski Konrad dr., Jerozolimska 4"
Nowogródzkie,Grodno,Lekarze,Médecins,"Karnowski Mikołaj dr., Orzeszkowej 27"
Nowogródzkie,Grodno,Lekarze,Médecins,"Kopański Jozef dr., Listowskiego 36"
Nowogródzkie,Grodno,Lekarze,Médecins,"Krzywiec Jerzy dr., Piaskowa 12"
Nowogródzkie,Grodno,Lekarze,Médecins,"Sapoczyński Josel dr., Dominikańska 23"
Nowogródzkie,Grodno,Lekarze,Médecins,"Sawicki Jan dr., Listowskiego 32"
Nowogródzkie,Grodno,Lekarze,Médecins,"Szreders Wacław dr., Nowy Zamek"
Nowogródzkie,Grodno,Lekarze,Médecins,"Wejsbren Zacharjusz dr., Orzeszkowej 4"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Bernsztein Rebeka, Orzeszkowej 27"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Błaszkowska-Hirszhorn Jurgo Rub., Policyjna 30"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Eliasberg Ch., Orzeszkowej 4"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Giłuła Gesz., Brygidzka 5"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Heller Paw., Brygidzka 11"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Lewin-Ginzburg P., Lipowa 17"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Lubicz Awr., Dominikańska 19"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Lubicz-Teplic, Dominikańska 19"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Makarewicz - Labukow Ludmiła, Dzielna 3"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Mańkowska - Morawska Zofja, Brygidzka 1"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Rozenbaum Leon, Iwanowska 9"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Stadnicki-Kolendo Mich., Bankowa 6"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Tropp-Kryński Bec., Horodniczańska 15"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Wierbluńska Dew., Bankowa 8"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Zarecka-Nowogródzka R., Skarbowa 12"
Nowogródzkie,Grodno,Lekarze dentyści,Médecins dentistes,"Zondowicz Mend., Batorego 3"
Nowogródzkie,Grodno,Lekarze weterynarji,Médecins vétérinaires,"Czerwiakowski Aleks., Stanisławowska 5"
Nowogródzkie,Grodno,Lekarze weterynarji,Médecins vétérinaires,"Hrycykiewicz Józef"
Nowogródzkie,Grodno,Lekarze weterynarji,Médecins vétérinaires,"Leonowicz Winc."
Nowogródzkie,Grodno,Lekarze weterynarji,Médecins vétérinaires,"Podsędkowski Mich."
Nowogródzkie,Grodno,Lekarze weterynarji,Médecins vétérinaires,"Rozanowicz Paweł"
Nowogródzkie,Grodno,Lekarze weterynarji,Médecins vétérinaires,"Sidor Kazim."
Nowogródzkie,Grodno,Lekarze weterynarji,Médecins vétérinaires,"Sulewski Wład."
Nowogródzkie,Grodno,Lekarze weterynarji,Médecins vétérinaires,"Śląski Jan"
Nowogródzkie,Grodno,Lekarze weterynarji,Médecins vétérinaires,"Wojtatowicz Mich. dr., Bernardyńska 7"
Nowogródzkie,Grodno,Firmy zarejestrowane,Maisons enregistrées,"Aleksandrowicz M. i Tarłowski, mąka - farines, Bóżniczna 4"
Nowogródzkie,Grodno,Firmy zarejestrowane,Maisons enregistrées,"„Amada”, Tow Akc. Fabr. Tłuszcz. Jadalnych w Gdańsku - graisses comestibles, Dominikańska 1"
Nowogródzkie,Grodno,Firmy zarejestrowane,Maisons enregistrées,"Babun W., kuchenne naczynia - articles de cuisine, plac Batorego 10"
Nowogródzkie,Grodno,Firmy zarejestrowane,Maisons enregistrées,"Balt Anna, kapelusze damskie - modes, Brygidzka 10"
