lp,Nazwy ulic w 1932 roku,Po białorusku,Po rosyjsku,Zapis alfabetem łacińskim + komentarze
1,Akademicka,Академицкая,,Akademickaja
2,Aleja 3 maja,1-Мая,,1-ego maja
3,Artyleryjska,Захарова,,Zacharova
4,Augustowska,Курбатова,,Kurbatova
5,Aleja Miłości,Кохановского,,Kochanowskovo patrz Krzyżaki maj. Stanisławowski
6,Bagatela (od Garncarskiej) -,Василька,,VAISILKA ? Nie istnieje jak ulica Podwalna, obie ulice powinny być równoległe do Telegrafnyj per. Może to
7,Bagno,,,Nie istnieje, okolice obecnej ulicy Schastnovo
8,"Bankowa - Witolda, w. ksiecia litewskiego ( od 1931 r.)",Социалистическая,,Socjalistyczeskaja (połączona z Pocztową)
9,Batorego Plac-,Советский Площадь,,Sovjetcki Plac
10,"Bazyljańska (d. Górna)",Лермонтова,,Lermontowa
11,"Bednarska (d. Krótka)",Парижской Комуны,,Paryzhskoj Komuny (Bednarksa przebudowana dodana do Bernardyńskiej)
12,"Bema generała (d. Koszarowa) -",Щорса,,Szczorsa
13,Bernardyńska,Парижской Комуны,,Paryzhskoj Komuny
14,Biała,,,nie istnieje powinna przecinać prostopadle ulce Novooktjabrskaja i Darvina
15,Białostocka,Счастново,,Schastnovo przechodzi w (Suvorova)???
16,"dr Bienieckiego",Молодёжная,,Molodjezhnaja
17,Bobrowa,Краснофлотная,,Krasnoflotnaja
18,"Bogusławskiego (obok Teatru)",,,Nie istnieje, obecnie teren parku Zylibera
19,Bonifraterska,Свердлова,,Svjerdlova
20,Bośniacka,Телеграфная,,Telegrafnaja
21,"Botaniczna (d. Dzielna)",1-Я Ботаническая,,Botanicheskaja
22,Bożniczna,"Дарвина, Новооктябрьская",,Darvina, Novooktjabrskaja → przebudowane
23,Brygidzka,Карла Маркса,,Karla Marksa
24,Brzozowa,,,Nie istnieje, powinna przecinać obecne ul Sosnovaja i Klejenovaja
25,Ceglana,Цегланая,,Ceglanaja
26,Cerkiewna,,,Nie istnieje
27,Chmielna,,,Nie istnieje powinna być boczną od Sportivnej
28,Ciasna,Трудная,,Trudnaja??
29,Cicha,Тихая,,Tihaja
30,"Cichanowskiego d-ra",,,
31,Cmentarna,,,Obecnie chyba istnieje choć nie znana jest jej nazwa powinna rozdzielać cmentarz prawosławny od Farnego katolickiego. Łączy ulice Podolnaja z Prigorodnaja.
32,"Czeczotta Jana (od Łosos.)",,, (nie istnieje) przedłużenie Gagarina
