City,Index,Type,Urodzenia / Births,Śluby / Marriages,Zgony / Deaths,Spisy parafian
Aleksandria,3,Wpisy,1828-1863,1828-1939,1828-1863,
Aleksandria,4,Indeksy,"1828-1853,1855, 1862-1863","1828-1853, 1855, 1862-1863","1828-1853, 1855-1856, 1862-1863","1844, 1885"
Annopol,6,Wpisy,1828-1920,1828-1939,1828-1859,
Annopol,7,Indeksy,"1828-1853, 1859","1828-1853, 1859","1828-1840, 1842-1853, 1859",
Annowal (Annowola),9,Wpisy,1930,1925-1938,,
"Antonówka, dek Humań",11,Wpisy,1845,1845,1845,
"Antonówka, dek Humań",12,Indeksy,1845,1845,1845,
"Antonówka, dek. Włodzimierz",14,Wpisy,,1935,,
Bazalia,16,Wpisy,1812-1867,1827-19??,1827-1867,
Bazalia,17,Indeksy,"1827-1829, 1835- 1836, 1838-1839, 1845-1846, 1848-1851, 1853-1864, 1866-1867","1827-1829, 1835- 1836, 1838-1839, 1845-1848, 1850- 1851, 1853-1867, 1870-1873, 1880-1890, 1904-1912","1827-1829, 1835- 1836, 1838-1839, 1845-1846, 1850-1851, 1853-1867",1888
Bazalia – filia Tereszki,19,Wpisy,1828-1911,1828-1850,1828-1850,
Bazalia – filia Tereszki,20,Indeksy,"1828-1829, 1835- 1836, 1838-1839, 1845-1846, 1848- 1850, 1910- 1911","1828-1829, 1835-1836, 1838-1839, 1845-1848 1850","1828-1829, 1835-1836, 1838-1839, 1845-1846, 1850",
Berdyczów,22,Wpisy,1830-1839,1839,1839,
Berdyczów,23,Indeksy,"1830, 1839",1839,1839,
Beresteczko,25,Wpisy,1832-1904,1836-1933,1830-1863,
Beresteczko,26,Indeksy,"1838, 1840-1847, 1850-1860, 1862-1863","1838, 1840-1860; 1862-1863",1838; 1840-1860; 1862-1863,1912
Berezdów,28,Wpisy,1827-1882,1827-1862,1827-1864,
Berezdów,29,Indeksy,"1827-1836, 1839- 1848, 1850- 1854, 1860, 1862-1864, 1880-1882","1827-1836, 1839-1846-1848, 1850-1854, 1860, 1862,1864","1827-1836, 1839-1848, 1850-1854, 1860, 1862, 1864",1885
Berezne,31,Wpisy,1828-1927,1828-1942,1828-1942,
Berezne,32,Indeksy,"1828-1853, 1856, 1862-1863, 1880- 1883, 1885-1887, 1891-1894, 1906, 1919-1922","1828-1853, 1856, 1862-1863, 1880- 1883, 1885-1887, 1891-1894, 1906, 1919-1922, 1924","1828-1853, 1856, 1862-1863, 1880- 1883, 1885-1887, 1891-1894, 1906, 1919- 1920, 1922","1844, 1885"
Bereźnica,34,Wpisy,1827-1863,1823 – 1860,1827-1860,
